Datetime (UTC),Timezone (minutes),Unix Timestamp (UTC),Acc magnitude avg,Eda avg,Temp avg,Movement intensity,Steps count,Rest,On Wrist
2020-01-18T23:53:00Z,-300,1579391580000,1.053552,2.285285,29.690000,0,0,0,true
2020-01-18T23:54:00Z,-300,1579391640000,1.027440,2.287399,29.734133,0,0,0,true
2020-01-18T23:55:00Z,-300,1579391700000,1.027347,2.294705,29.771600,0,0,0,true
2020-01-18T23:56:00Z,-300,1579391760000,1.043399,2.300582,29.815150,0,0,0,true
2020-01-18T23:57:00Z,-300,1579391820000,1.012980,2.303921,29.774950,0,0,0,true
2020-01-18T23:58:00Z,-300,1579391880000,1.025912,2.303740,29.713550,0,0,0,true
2020-01-18T23:59:00Z,-300,1579391940000,1.046390,2.305753,29.718950,0,0,0,true
2020-01-19T00:00:00Z,-300,1579392000000,1.043788,2.302207,29.790600,14,39,0,true
2020-01-19T00:01:00Z,-300,1579392060000,1.069560,2.309795,29.849100,29,39,0,true
2020-01-19T00:02:00Z,-300,1579392120000,1.026492,2.314367,29.831800,13,39,0,true
2020-01-19T00:03:00Z,-300,1579392180000,1.070758,2.316266,29.831783,10,39,0,true
2020-01-19T00:04:00Z,-300,1579392240000,1.065391,2.324026,29.955417,21,39,0,true
2020-01-19T00:05:00Z,-300,1579392300000,1.061864,2.332454,30.052300,13,40,0,true
2020-01-19T00:06:00Z,-300,1579392360000,1.068591,2.337713,30.194267,16,40,0,true
2020-01-19T00:07:00Z,-300,1579392420000,1.045522,2.347567,30.306650,18,41,0,true
2020-01-19T00:08:00Z,-300,1579392480000,1.038740,2.340768,30.145417,0,0,0,true
2020-01-19T00:09:00Z,-300,1579392540000,1.053751,2.314077,29.626667,19,29,0,true
2020-01-19T00:10:00Z,-300,1579392600000,1.066035,2.308249,29.379867,26,37,0,true
2020-01-19T00:11:00Z,-300,1579392660000,1.116255,2.327280,29.624817,48,44,0,true
2020-01-19T00:12:00Z,-300,1579392720000,1.041525,2.339582,29.812467,35,39,0,true
2020-01-19T00:13:00Z,-300,1579392780000,1.041629,2.335892,29.832867,0,0,0,true
2020-01-19T00:14:00Z,-300,1579392840000,1.047880,2.338700,29.818183,16,39,0,true
2020-01-19T00:15:00Z,-300,1579392900000,1.099870,2.346969,29.953100,33,39,0,true
2020-01-19T00:16:00Z,-300,1579392960000,1.061914,2.348734,29.987050,24,52,0,true
2020-01-19T00:17:00Z,-300,1579393020000,1.039978,2.387446,30.018833,11,39,0,true
2020-01-19T00:18:00Z,-300,1579393080000,1.032497,2.506834,30.019700,0,0,0,true
2020-01-19T00:19:00Z,-300,1579393140000,1.040774,2.518580,30.057200,0,0,0,true
2020-01-19T00:20:00Z,-300,1579393200000,1.063391,2.531963,30.108450,0,0,0,true
2020-01-19T00:21:00Z,-300,1579393260000,1.036996,2.544193,30.343750,0,0,0,true
2020-01-19T00:22:00Z,-300,1579393320000,1.060115,2.553145,30.476767,0,0,0,true
2020-01-19T00:23:00Z,-300,1579393380000,1.034982,2.568544,30.564600,13,28,0,true
2020-01-19T00:24:00Z,-300,1579393440000,1.043696,2.570144,30.553450,16,34,0,true
2020-01-19T00:25:00Z,-300,1579393500000,1.064365,2.568810,30.486133,10,41,0,true
2020-01-19T00:26:00Z,-300,1579393560000,1.038004,2.567446,30.571600,10,34,0,true
2020-01-19T00:27:00Z,-300,1579393620000,1.071808,2.568084,30.612100,0,0,0,true
2020-01-19T00:28:00Z,-300,1579393680000,1.036448,2.567339,30.633000,0,0,0,true
2020-01-19T00:29:00Z,-300,1579393740000,1.040543,2.568118,30.624317,0,0,0,true
2020-01-19T00:30:00Z,-300,1579393800000,1.013236,2.563270,30.530167,0,0,0,true
2020-01-19T00:31:00Z,-300,1579393860000,1.039427,2.564445,30.546850,0,0,0,true
2020-01-19T00:32:00Z,-300,1579393920000,1.072520,2.557227,30.364433,0,0,0,true
2020-01-19T00:33:00Z,-300,1579393980000,1.033513,2.554421,30.267733,11,0,0,true
2020-01-19T00:34:00Z,-300,1579394040000,1.032489,2.556233,30.247917,0,0,0,true
2020-01-19T00:35:00Z,-300,1579394100000,1.027186,2.549449,30.178967,0,0,0,true
2020-01-19T00:36:00Z,-300,1579394160000,1.017576,2.551242,30.292433,0,0,0,true
2020-01-19T00:37:00Z,-300,1579394220000,1.011766,2.537838,30.192150,0,0,0,true
2020-01-19T00:38:00Z,-300,1579394280000,1.043115,2.528966,30.200450,12,0,0,true
2020-01-19T00:39:00Z,-300,1579394340000,1.084810,2.525533,30.197767,0,0,0,true
2020-01-19T00:40:00Z,-300,1579394400000,1.034930,2.518351,30.134033,10,0,0,true
2020-01-19T00:41:00Z,-300,1579394460000,1.040757,2.506541,29.985333,0,0,0,true
2020-01-19T00:42:00Z,-300,1579394520000,1.089208,2.524880,30.065700,49,43,0,true
2020-01-19T00:43:00Z,-300,1579394580000,1.008573,2.475122,30.073083,11,14,0,true
2020-01-19T00:44:00Z,-300,1579394640000,1.022581,2.479756,30.186783,0,0,0,true
2020-01-19T00:45:00Z,-300,1579394700000,1.015500,2.488738,30.266850,15,28,0,true
2020-01-19T00:46:00Z,-300,1579394760000,1.056076,2.488978,30.253333,45,55,0,true
2020-01-19T00:47:00Z,-300,1579394820000,1.102798,2.486756,30.248367,56,43,0,true
2020-01-19T00:48:00Z,-300,1579394880000,1.096926,2.491073,30.358383,58,52,0,true
2020-01-19T00:49:00Z,-300,1579394940000,1.147927,2.498287,30.435467,44,36,0,true
2020-01-19T00:50:00Z,-300,1579395000000,1.144112,2.492809,30.469750,50,63,0,true
2020-01-19T00:51:00Z,-300,1579395060000,1.137951,2.601229,30.122350,93,59,0,true
2020-01-19T00:52:00Z,-300,1579395120000,1.160784,3.009429,29.672483,76,38,0,true
2020-01-19T00:53:00Z,-300,1579395180000,1.077288,2.991987,29.657733,28,43,0,true
2020-01-19T00:54:00Z,-300,1579395240000,1.056561,2.888474,29.717417,29,38,0,true
2020-01-19T00:55:00Z,-300,1579395300000,1.005173,2.807002,29.692117,0,0,0,true
2020-01-19T00:56:00Z,-300,1579395360000,1.035556,2.768137,29.910033,14,36,0,true
2020-01-19T00:57:00Z,-300,1579395420000,1.014884,2.752033,30.074433,0,0,0,true
2020-01-19T00:58:00Z,-300,1579395480000,0.981972,2.740287,30.268800,0,0,0,true
2020-01-19T00:59:00Z,-300,1579395540000,0.996009,2.729205,30.382567,0,0,0,true
